Measure,region_from,region_to,Measure_Type,value,Base_Region
mi_kraskov_NN-4,lateraloccipital,caudalanteriorcingulate,Bivariate,-0.004654623657691204,
tlmi_kraskov_NN-4,lateraloccipital,caudalanteriorcingulate,Bivariate,-0.006197763920273047,
di_kozachenko,lateraloccipital,caudalanteriorcingulate,Bivariate,2.372261816318332,
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,caudalanteriorcingulate,Bivariate,0.00032432431554104877,
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,caudalanteriorcingulate,Bivariate,0.007221946742191232,
ce_kozachenko,lateraloccipital,caudalanteriorcingulate,Bivariate,1.4233374812542166,
cce_kozachenko,lateraloccipital,caudalanteriorcingulate,Bivariate,4.525830877592982,
entropy_kozachenko,middletemporal,middletemporal,Univariate,1.4441633115003185,middletemporal
AIS_kraskov,middletemporal,middletemporal,Univariate,0.08965092258770646,middletemporal
je_kozachenko,lateraloccipital,middletemporal,Bivariate,2.840890328089269,
si_kozachenko_k-1,lateraloccipital,middletemporal,Bivariate,0.03540924398387224,
mi_kraskov_NN-4,lateraloccipital,middletemporal,Bivariate,0.004828673034293018,
tlmi_kraskov_NN-4,lateraloccipital,middletemporal,Bivariate,0.000330755481863676,
di_kozachenko,lateraloccipital,middletemporal,Bivariate,2.2969656392415247,
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,middletemporal,Bivariate,6.238340825861827e-05,
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,middletemporal,Bivariate,-0.0038070800099681,
ce_kozachenko,lateraloccipital,middletemporal,Bivariate,1.4321812809953474,
cce_kozachenko,lateraloccipital,middletemporal,Bivariate,4.435178955640472,
entropy_kozachenko,medialorbitofrontal,medialorbitofrontal,Univariate,1.3945962004236225,medialorbitofrontal
AIS_kraskov,medialorbitofrontal,medialorbitofrontal,Univariate,0.08987218253050067,medialorbitofrontal
je_kozachenko,lateraloccipital,medialorbitofrontal,Bivariate,2.8338765019117056,
si_kozachenko_k-1,lateraloccipital,medialorbitofrontal,Bivariate,0.0633871517231479,
mi_kraskov_NN-4,lateraloccipital,medialorbitofrontal,Bivariate,-0.005950137807641198,
tlmi_kraskov_NN-4,lateraloccipital,medialorbitofrontal,Bivariate,0.011896545479476828,
di_kozachenko,lateraloccipital,medialorbitofrontal,Bivariate,2.3670584929556355,
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,medialorbitofrontal,Bivariate,0.00011391486188521076,
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,medialorbitofrontal,Bivariate,-0.004217820087907942,
ce_kozachenko,lateraloccipital,medialorbitofrontal,Bivariate,1.4252943824584103,
cce_kozachenko,lateraloccipital,medialorbitofrontal,Bivariate,4.394180455119365,
entropy_kozachenko,insula,insula,Univariate,1.3919522103557762,insula
AIS_kraskov,insula,insula,Univariate,0.07758891848374283,insula
je_kozachenko,lateraloccipital,insula,Bivariate,2.814234120975945,
si_kozachenko_k-1,lateraloccipital,insula,Bivariate,-0.019569155088759782,
mi_kraskov_NN-4,lateraloccipital,insula,Bivariate,4.377601671912146e-05,
tlmi_kraskov_NN-4,lateraloccipital,insula,Bivariate,-0.01038674312766652,
